,0
0,73
1,36
2,185
3,142
4,154
5,142
6,206
7,82
8,381
9,88
10,102
11,64
12,93
13,46
14,307
15,86
16,181
17,470
18,452
19,42
20,723
21,94
22,153
23,405
24,235
25,12
26,129
27,130
28,90
29,240
30,62
31,127
32,1
33,128
34,76
35,72
36,17
37,144
38,243
39,124
40,38
41,213
42,78
43,8
44,144
45,342
46,297
47,90
48,67
49,172
50,24
51,76
52,43
53,26
54,106
55,8
56,428
57,42
58,55
59,47
60,237
61,22
62,43
63,161
64,27
65,286
66,174
67,76
68,99
69,48
70,172
71,116
72,247
73,59
74,149
75,29
76,136
77,20
78,32
79,13
80,361
81,267
82,73
83,12
84,96
85,31
86,138
87,1
88,79
89,14
90,131
91,35
92,33
93,5
94,65
95,116
96,187
97,117
98,172
99,150
100,186
101,31
102,49
103,36
104,207
105,104
106,10
107,90
108,47
109,173
110,51
111,77
112,27
113,92
114,69
115,95
116,47
117,28
118,163
119,123
120,47
121,44
122,167
123,36
124,17
125,41
126,10
127,151
128,30
129,79
130,138
131,76
132,17
133,158
134,103
135,131
136,84
137,33
138,56
139,17
140,116
141,92
142,112
143,199
144,67
145,3
146,135
147,169
148,33
149,232
150,103
151,31
152,15
153,7
154,122
155,5
156,67
157,91
158,62
159,77
160,3
161,81
162,141
163,52
164,42
165,66
166,80
167,9
168,263
169,119
170,210
171,1
172,141
173,134
174,25
175,114
176,88
177,71
178,152
179,2
180,1
181,6
182,12
183,133
184,7
185,92
186,73
187,81
188,138
189,161
190,41
191,131
192,41
193,17
194,107
195,101
196,8
197,26
198,23
199,92
200,146
201,132
202,43
203,2
204,55
205,54
206,70
207,133
208,28
209,42
210,43
211,36
212,29
213,14
214,28
215,6
216,16
217,96
218,46
219,77
220,117
221,102
222,59
223,32
224,100
225,127
226,6
227,419
228,107
229,148
230,11
231,26
232,1
233,70
234,56
235,5
236,5
237,213
238,1
239,14
240,25
241,230
242,86
243,73
244,3
245,28
246,183
247,2
248,72
249,10
250,5
251,10
252,30
253,146
254,5
255,290
256,18
257,32
258,14
259,14
260,24
261,36
262,161
263,58
264,10
265,21
266,98
267,12
268,2
269,31
270,193
271,75
272,13
273,114
274,21
275,5
276,102
277,153
278,7
279,58
280,18
281,22
282,1
283,135
284,46
285,67
286,50
287,4
288,59
289,74
290,26
291,154
292,6
293,39
294,16
295,5
296,55
297,63
298,61
299,103
300,280
301,29
302,128
303,22
304,2
305,2
306,22
307,18
308,30
309,160
310,153
311,3
312,21
313,127
314,2
315,13
316,11
317,90
318,154
319,7
320,12
321,117
322,81
323,111
324,337
325,135
326,180
327,19
328,143
329,122
330,24
331,165
332,13
333,2
334,148
335,11
336,29
337,11
338,2
339,95
340,6
341,81
342,221
343,76
344,44
345,2
346,8
347,12
348,166
349,68
350,232
351,75
352,39
353,34
354,9
355,59
356,68
357,143
358,16
359,18
360,75
361,8
362,13
363,71
364,11
365,2
366,97
367,26
368,4
369,42
370,52
371,11
372,11
373,20
374,238
375,23
376,62
377,51
378,7
379,2
380,63
381,5
382,115
383,129
384,62
385,44
386,83
387,30
388,21
389,127
390,17
391,8
392,3
393,1
394,192
395,62
396,8
397,29
398,69
399,31
400,75
401,18
402,3
403,37
404,37
405,11
406,30
407,38
408,43
409,66
410,147
411,2
412,5
413,22
414,176
415,96
416,2
417,154
418,55
419,2
420,85
421,34
422,19
423,28
424,30
425,69
426,7
427,46
428,5
429,53
430,3
431,53
432,127
433,1
434,3
435,12
436,17
437,61
438,14
439,177
440,63
441,69
442,56
443,115
444,56
445,101
446,78
447,24
448,36
449,51
450,41
451,139
452,32
453,78
454,10
455,9
456,114
457,25
458,39
459,19
460,140
461,37
462,43
463,30
464,36
465,5
466,59
467,13
468,33
469,26
470,22
471,88
472,206
473,31
474,38
475,3
476,123
477,90
478,9
479,3
480,114
481,23
482,36
483,35
484,14
485,46
486,6
487,12
488,230
489,114
490,1
491,92
492,52
493,36
494,4
495,158
496,3
497,100
498,10
499,68
500,340
501,48
502,16
503,7
504,66
505,20
506,25
507,36
508,38
509,113
510,27
511,67
512,5
513,1
514,112
515,166
516,22
517,67
518,84
519,47
520,35
521,64
522,99
523,114
524,69
525,194
526,2
527,8
528,154
529,29
530,39
531,3
532,11
533,30
534,109
535,28
536,22
537,167
538,327
539,1
540,56
541,43
542,2
543,180
544,14
545,25
546,15
547,89
548,77
549,74
550,13
551,3
552,59
553,84
554,47
555,56
556,62
557,45
558,80
559,65
560,115
561,43
562,15
563,76
564,4
565,59
566,101
567,18
568,121
569,72
570,7
571,28
572,3
573,27
574,4
575,59
576,2
577,23
578,103
579,22
580,40
581,6
582,95
583,216
584,94
585,40
586,11
587,12
588,5
589,107
590,3
591,98
592,14
593,369
594,40
595,3
596,49
597,6
598,6
599,202
600,58
601,48
602,35
603,36
604,29
605,3
606,6
607,44
608,55
609,109
610,47
611,12
612,31
613,44
614,5
615,205
616,8
617,230
618,12
619,17
620,2
621,28
622,4
623,15
624,27
625,52
626,5
627,112
628,40
629,10
630,41
631,24
632,159
633,19
634,80
635,12
636,118
637,18
638,135
639,119
640,63
641,56
642,472
643,7
644,5
645,24
646,26
647,2
648,14
649,3
650,85
651,81
652,124
653,65
654,38
655,90
656,14
657,23
658,147
659,24
660,246
661,66
662,89
663,63
664,63
665,7
666,16
667,111
668,26
669,2
670,24
671,28
672,21
673,34
674,35
675,44
676,75
677,40
678,42
679,31
680,18
681,77
682,1
683,44
684,18
685,103
686,35
687,25
688,55
689,141
690,7
691,47
692,76
693,47
694,1
695,45
696,68
697,19
698,73
699,74
700,42
701,12
702,28
703,20
704,16
705,63
706,47
