,0
746,204
747,155
748,76
749,116
750,153
751,606
752,206
753,185
754,650
755,344
756,305
757,193
758,187
759,364
760,217
761,105
762,76
763,87
764,302
765,507
766,108
767,127
768,53
769,261
770,390
771,218
772,165
773,756
774,175
775,380
776,382
777,91
778,137
779,231
780,77
781,172
782,265
783,226
784,1586
785,462
786,143
787,205
788,76
789,111
790,206
791,97
792,209
793,649
794,47
795,389
796,895
797,76
798,60
799,439
800,949
801,380
802,100
803,198
804,204
805,193
806,104
807,261
808,242
809,450
810,149
811,920
812,119
813,303
814,197
815,277
816,162
817,459
818,813
819,700
820,105
821,84
822,262
823,443
824,220
825,600
826,329
827,565
828,48
829,166
830,576
831,1253
832,1556
833,263
834,59
835,293
836,331
837,923
838,266
839,327
840,826
841,503
842,287
843,238
844,184
845,141
846,53
847,102
848,104
849,596
850,411
851,790
852,680
853,227
854,149
855,297
856,70
857,456
858,100
859,139
860,349
861,126
862,76
863,391
864,329
865,347
866,204
867,285
868,87
869,985
870,629
871,410
872,1093
873,349
874,580
875,915
876,454
877,156
878,227
879,319
880,154
881,167
882,451
883,96
884,349
885,751
886,256
887,401
888,387
889,139
890,188
891,1058
892,311
893,317
894,710
895,457
896,242
897,525
898,96
899,125
900,469
901,200
902,1005
903,234
904,42
905,159
906,348
907,491
908,1644
909,375
910,665
911,221
912,150
913,393
914,210
915,129
916,1222
917,627
918,1128
919,404
920,239
921,291
922,209
923,67
924,1135
925,225
926,180
927,119
928,646
929,262
930,106
931,259
932,47
933,168
934,151
935,726
936,101
937,978
938,442
939,135
940,787
941,349
942,632
943,138
944,2007
945,99
946,932
947,107
948,555
949,90
950,204
951,216
952,74
953,198
954,556
955,542
956,216
957,173
958,612
959,192
960,226
961,298
962,1152
963,688
964,132
965,368
966,137
967,39
968,120
969,44
970,181
971,131
972,138
973,103
974,169
975,59
976,198
977,214
978,452
979,92
980,83
981,293
982,178
983,150
984,89
985,525
986,194
987,301
988,552
989,217
990,472
991,96
992,73
993,499
994,421
995,48
996,385
997,172
998,292
999,342
