,0
0,7666
1,923
2,589
3,3466
4,2042
5,3553
6,883
7,1497
8,8995
9,1169
10,8663
11,4507
12,2248
13,2077
14,1178
15,665
16,1836
17,8561
18,6601
19,2011
20,655
21,9966
22,4279
23,7206
24,453
25,794
26,226
27,10765
28,442
29,879
30,3587
31,3217
32,1742
33,965
34,1097
35,2976
36,11994
37,1031
38,2933
39,196
40,2894
41,2044
42,12091
43,5434
44,844
45,394
46,370
47,219
48,1999
49,2208
50,1356
51,2200
52,1208
53,3823
54,358
55,2792
56,458
57,1692
58,1059
59,577
60,1273
61,2623
62,1074
63,303
64,746
65,2322
66,687
67,589
68,769
69,2974
70,387
71,1654
72,2121
73,1174
74,2486
75,1261
76,2716
77,490
78,1479
79,881
80,2066
81,675
82,684
83,1739
84,3972
85,1702
86,679
87,483
88,1346
89,470
90,708
91,531
92,993
93,123
94,1691
95,419
96,164
97,645
98,925
99,409
100,1293
101,263
102,287
103,126
104,1069
105,1187
106,1906
107,405
108,503
109,372
110,160
111,407
112,166
113,600
114,617
115,564
116,344
117,913
118,560
119,1060
120,618
121,748
122,366
123,774
124,2005
125,1596
126,447
127,598
128,411
129,278
130,596
131,531
132,285
133,240
134,205
135,143
136,213
137,365
138,189
139,121
140,146
141,239
142,244
143,167
144,383
145,309
146,640
147,389
148,270
149,294
150,393
151,272
152,96
153,208
154,263
155,563
156,411
157,866
158,677
159,213
160,560
161,159
162,150
163,303
164,272
165,253
166,1154
167,283
168,458
169,463
170,453
171,569
172,227
173,382
174,1015
175,837
176,255
177,228
178,148
179,433
180,218
181,208
182,245
183,575
184,747
185,373
186,289
187,821
188,401
189,717
190,616
191,269
192,1879
193,246
194,429
195,135
196,302
197,195
198,149
199,329
200,185
201,235
202,231
203,141
204,521
205,424
206,144
207,295
208,504
209,394
210,66
211,501
212,328
213,174
214,505
215,115
216,524
217,99
218,457
219,699
220,1563
221,335
222,299
223,624
224,482
225,100
226,304
227,167
228,551
229,1050
230,96
231,388
232,264
233,101
234,85
235,1774
236,363
237,215
238,263
239,393
240,147
241,158
242,245
243,248
244,119
245,188
246,285
247,445
248,390
249,209
250,138
251,282
252,210
253,129
254,409
255,181
256,300
257,395
258,509
259,138
260,340
261,497
262,679
263,448
264,192
265,343
266,405
267,223
268,296
269,458
270,294
271,228
272,358
273,512
274,192
275,600
276,226
277,212
278,740
279,344
280,181
281,199
282,849
283,233
284,364
285,219
286,906
287,813
288,602
289,141
290,161
291,735
292,280
293,413
294,275
295,248
296,1115
297,239
