,0
0,749
1,5068
2,1645
3,445
4,438
5,1129
6,1256
7,949
8,4583
9,541
10,4086
11,867
12,533
13,375
14,1266
15,787
16,1661
17,645
18,2109
19,1679
20,785
21,674
22,669
23,355
24,629
25,824
26,242
27,319
28,522
29,971
30,1231
31,1140
32,1539
33,1345
34,2018
35,2510
36,1871
37,618
38,705
39,408
40,1280
41,2502
42,2900
43,1249
44,595
45,2844
46,600
47,1737
48,1613
49,794
50,637
51,555
52,727
53,1366
54,1006
55,803
56,1311
57,556
58,2139
59,604
60,8627
61,1809
62,2889
63,597
64,810
65,1760
66,499
67,1481
68,5799
69,3711
70,1849
71,446
72,578
73,265
74,402
75,1152
76,1535
77,683
78,550
79,426
80,1382
81,1586
82,2266
83,792
84,2312
85,2448
86,3724
87,574
88,652
89,1552
90,503
91,210
92,675
93,1110
94,2535
95,977
96,1961
97,1237
98,527
99,673
100,891
101,839
102,480
103,2288
104,233
105,570
106,379
107,337
108,4300
109,517
110,236
111,475
112,272
113,868
114,346
115,1183
116,1608
117,395
118,2609
119,1519
120,517
121,581
122,1143
123,1934
124,623
125,852
126,345
127,3424
128,237
129,375
130,643
131,264
132,509
133,926
134,645
135,539
136,1171
137,382
138,740
139,178
140,679
141,2049
142,349
143,1684
144,596
145,245
146,956
147,1046
148,1921
149,1467
150,772
151,757
152,949
153,481
154,2278
155,350
156,972
157,1685
158,3094
159,1277
160,197
161,2593
162,4162
163,2416
164,844
165,1567
166,838
167,257
168,3098
169,784
170,259
171,1225
172,1086
173,645
174,218
175,861
176,602
177,482
178,370
179,359
180,267
181,491
182,2576
183,1737
184,690
185,382
186,1085
187,621
188,527
189,612
190,669
191,680
192,1118
193,453
194,477
195,785
196,172
197,254
198,1365
199,633
200,507
201,477
202,1508
203,486
204,1063
205,1131
206,402
207,163
208,785
209,443
210,304
211,3062
212,653
213,1251
214,1038
215,173
216,140
217,2295
218,964
219,1909
220,456
221,1629
222,899
223,3378
224,979
225,1832
226,238
227,508
228,1990
229,849
230,1808
231,902
232,3445
233,273
234,1541
235,483
236,1353
237,533
238,550
239,573
240,469
241,526
242,2176
243,407
244,149
245,360
246,371
247,1042
248,241
249,145
250,236
251,268
252,1534
253,577
254,1266
