,"-1,-1","-1,0","-1,1","0,-1","0,0","0,1","1,-1","1,0","1,1"
".x23y4|4,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x23y4|4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x23y4|5,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x23y4|5,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x23y4|5,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x23y4|5,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x23y4|5,-1",0.0,0.0,0.0,-1.2274424105630186,0.0,0.0,-1.4395451376643957,0.0,0.0
".x23y4|5,0",0.0,0.0,0.0,0.0,0.0,0.0,-0.79848879,-0.699237,-0.33
".x23y4|5,1",0.0,0.0,0.0,0.0,0.0,-6.496389478980387,-6.583637112963555,-11.007108309970679,-18.16178981369557
".x23y4|5,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x23y4|5,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x23y4|5,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x23y4|5,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-5,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-5,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-5,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-5,-2",-6.216494701630934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-5,-1",-19.988162818688775,-6.599999998817417,0.0,-5.712620245078075,0.0,0.0,0.0,0.0,0.0
".x24y4|-5,0",0.0,-0.9576893700000001,-0.6491100000000001,0.0,-1.2560856207900002,0.0,0.0,0.0,0.0
".x24y4|-5,1",0.0,0.0,0.0,0.0,0.0,-0.33,0.0,0.0,0.0
".x24y4|-5,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-5,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-5,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-5,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-4,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-4,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-4,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-4,-2",-15.904571335514545,0.0,0.0,0.0,-6.5825012517135315,0.0,0.0,0.0,0.0
".x24y4|-4,-1",-19.999964238381498,-15.18095828126902,0.0,-17.299545829448526,0.0,0.0,0.0,0.0,0.0
".x24y4|-4,0",-0.6491100000000001,-1.8236618470589008,-7.298328824654103,-0.9576893700000001,-1.2560856207900002,-0.6491100000000001,-0.6491100000000001,-0.9576893700000001,-0.6491100000000001
".x24y4|-4,1",0.0,0.0,-2.5160907277429456,0.0,0.0,-0.7147767,0.0,0.0,0.0
".x24y4|-4,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-4,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-4,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-3,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-3,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-3,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-3,-2",-18.912015130738737,0.0,0.0,-19.179183827047876,0.0,0.0,0.0,-6.580647923962696,0.0
".x24y4|-3,-1",-3.5862370671064956,-6.8854002641383225,-2.889634949397263,-5.638957664705979,-2.480022989998821,-0.699237,-3.8744908381716425,-1.3806231385175645,-0.9010574716998128
".x24y4|-3,0",-2.3543961329044607,-3.535362709327066,-9.953416099092145,-2.6067010605186134,-3.314749440875973,-2.850679925521499,-2.3543961329044607,-2.6067010605186134,-2.6067010605186134
".x24y4|-3,1",-0.79848879,0.0,-16.468640552619,0.0,0.0,-8.683376328996134,0.0,0.0,-10.29339166346046
".x24y4|-3,2",0.0,-0.972793465603705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
