,0
0,1078
1,410
2,1779
3,887
4,2193
5,1477
6,2482
7,341
8,996
9,3041
10,3146
11,1301
12,992
13,3700
14,684
15,630
16,746
17,347
18,547
19,201
20,1057
21,6421
22,881
23,1909
24,525
25,1562
26,4365
27,1573
28,1621
29,302
30,603
31,2218
32,1290
33,2108
34,2040
35,873
36,895
37,283
38,265
39,3708
40,1335
41,1585
42,619
43,1674
44,440
45,641
46,731
47,336
48,827
49,436
50,532
51,1534
52,1901
53,846
54,734
55,375
56,312
57,262
58,327
59,852
60,749
61,1765
62,1757
63,1204
64,2334
65,1198
66,1452
67,1495
68,3349
69,212
70,347
71,982
72,3344
73,960
74,813
75,662
76,865
77,578
78,1264
79,779
80,372
81,579
82,2402
83,551
84,2523
85,1111
86,2331
87,612
88,3748
89,1452
90,1056
91,562
92,2894
93,2524
94,834
95,1609
96,1074
97,600
98,1204
99,592
100,398
101,904
102,1079
103,926
104,3158
105,954
106,301
107,381
108,619
109,2050
110,1175
111,314
112,196
113,1873
114,1025
115,1503
116,1139
117,199
118,648
119,570
120,722
121,534
122,442
123,1327
124,626
125,534
126,1494
127,212
128,713
129,3667
130,138
131,805
132,838
133,5982
134,314
135,923
136,146
137,647
138,293
139,389
140,875
141,839
142,263
143,466
144,1186
145,576
146,451
147,1161
148,817
149,298
150,244
151,492
152,4239
153,779
154,278
155,421
156,681
157,803
158,233
159,2013
160,491
161,629
162,1462
163,199
164,798
165,1904
166,273
167,640
168,276
169,251
170,707
171,355
172,493
173,2004
174,1873
175,899
176,773
177,1193
178,636
179,319
180,420
181,563
182,546
183,673
184,711
185,1645
186,189
187,1116
188,586
189,359
190,1957
191,376
192,177
193,471
194,1330
195,512
196,607
197,446
198,388
199,587
200,182
201,676
202,343
203,817
204,345
205,513
206,163
207,539
208,692
209,127
210,541
211,521
212,95
213,222
214,243
215,215
216,202
217,207
218,201
219,739
220,810
221,1173
222,711
223,335
224,223
225,216
226,403
227,350
228,308
229,166
230,480
231,2501
232,475
233,493
234,271
235,602
236,237
237,166
238,444
239,557
240,675
241,128
242,654
243,540
244,93
245,262
246,560
247,1551
248,126
249,849
250,721
251,108
252,284
253,122
254,466
255,213
256,170
257,480
258,1249
259,371
260,289
261,106
262,276
263,252
264,425
265,710
266,196
267,270
268,216
269,300
270,312
271,784
272,374
273,199
274,418
275,474
276,275
277,970
278,148
279,486
280,534
281,269
282,89
283,232
284,164
285,124
286,74
287,97
288,148
289,95
290,125
291,317
292,113
293,184
294,447
295,527
296,101
297,350
298,133
299,216
300,147
301,176
302,349
303,354
304,658
305,460
306,222
307,158
308,126
309,206
310,83
311,85
312,139
313,484
314,110
315,300
316,209
317,285
318,86
319,613
320,166
321,247
322,1652
323,378
324,114
325,490
326,177
327,321
328,572
329,441
330,488
331,403
332,773
333,918
