,"-1,-1","-1,0","-1,1","0,-1","0,0","0,1","1,-1","1,0","1,1"
".x8y22|2,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|2,-1",-28.21497777324939,-22.51502197122183,-21.9964580414682,-25.271955442224982,-26.26624276565127,-21.688633347757815,-26.732088989749144,-25.84231671984601,-17.495073995839533
".x8y22|2,0",-21.04933247201716,-18.06282209576872,-18.853352049779836,-22.46307021094916,-7.766030643861619,-17.67929670370039,-23.396639081987857,-17.925840036744493,-19.47348785399212
".x8y22|2,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|2,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|2,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|2,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|2,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|3,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|3,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|3,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|3,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|3,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|3,0",-27.14430679659057,-15.9227780387986,-16.9522143950593,-25.60694185531768,-15.718450575120057,-16.883687529675566,-21.096791863431093,-14.408690475090669,-13.977460529916602
".x8y22|3,1",-12.122612145226782,-19.105494005142724,-24.683256217538457,-19.17197119334444,-17.265146759874547,-27.554042815917914,-17.29675609643451,-17.51438702987655,-26.338765073383108
".x8y22|3,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|3,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|3,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|3,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|4,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|4,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|4,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|4,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|4,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|4,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|4,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|4,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|4,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|4,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|5,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|5,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|5,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|5,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|5,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|5,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|5,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|5,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|5,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|5,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x8y22|5,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-5,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-5,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-5,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-5,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-5,-1",-16.885669418533894,-17.29777872635206,-17.511320523312598,-16.97090732724112,-17.008945982661814,-15.61518026693266,-23.064441224662918,-16.846838931805582,-17.151797875741728
".x9y22|-5,0",-19.66780963809233,-20.628534835234056,-22.92999058176946,-19.891293543270724,-19.623644969849096,-27.05164321900015,-20.91481188223504,-14.82230581335635,-22.769360688194357
".x9y22|-5,1",-17.10399018772927,-17.971241309877662,-19.149395363384176,-19.01037456909827,-16.373600647527304,-20.289549463953925,-16.99055245059619,-24.238206800602796,-16.135728200098434
".x9y22|-5,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-5,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-5,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-5,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-4,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-4,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-4,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-4,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-4,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-4,0",-18.293789456455638,-18.927756507064835,-23.481599722461947,-17.671749642711884,-18.542125317112024,-23.58217222873749,-14.839943575214646,-17.767965299071697,-26.57199016200159
".x9y22|-4,1",-19.717357832392004,-21.863988324418283,-25.1694691647428,-20.46337461943017,-20.89915678838551,-21.789696084180957,-16.594724273846136,-20.93316614319851,-21.912020850744117
".x9y22|-4,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-4,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-4,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-3,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-3,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-3,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-3,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-3,-1",-26.412662712495383,-19.89658427228605,-19.677632677549088,-26.472677925565197,-15.29424728975612,-18.642038870946223,-24.636540867907346,-20.361996190742826,-17.947955570207803
".x9y22|-3,0",-19.2320370003772,-16.82431980493904,-27.48362830647111,-17.492504868608354,-19.290405551256068,-27.515275209076144,-17.849793765244936,-15.896661852924131,-22.862934426073267
".x9y22|-3,1",-21.3124456287834,-23.21641233548562,-22.158283476983293,-22.731958395617667,-21.62553857009039,-26.249576736317227,-21.65593487723456,-26.044961152486742,-23.739895288367457
".x9y22|-3,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-3,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-3,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-3,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-2,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-2,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-2,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-2,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-2,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
