,0
734,856
735,1934
736,1251
737,491
738,572
739,2961
740,3787
741,1276
742,1398
743,579
744,134
745,1607
746,902
747,688
748,1114
749,554
750,339
751,1209
752,117
753,372
754,2458
755,2176
756,757
757,546
758,703
759,1464
760,220
761,1455
762,454
763,1812
764,336
765,553
766,191
767,298
768,362
769,1300
770,2854
771,272
772,255
773,131
774,624
775,1037
776,64
777,230
778,366
779,840
780,217
781,128
782,314
783,160
784,1739
785,569
786,1778
787,250
788,2389
789,5974
790,79
791,1086
792,782
793,212
794,687
795,227
796,353
797,2619
798,1746
799,410
800,1106
801,709
802,4919
803,234
804,1066
805,280
806,116
807,278
808,165
809,437
810,1032
811,1618
812,1324
813,939
814,1400
815,681
816,208
817,289
818,542
819,899
820,1834
821,957
822,827
823,208
824,1271
825,609
826,1322
827,146
828,891
829,129
830,1005
831,1167
832,1476
833,80
834,99
835,88
836,2360
837,1035
838,318
839,1537
840,190
841,403
842,492
843,92
844,704
845,1682
846,953
847,515
848,252
849,791
850,236
851,146
852,293
853,347
854,791
855,578
856,917
857,58
858,442
859,1449
860,342
861,1346
862,68
863,131
864,2265
865,452
866,885
867,459
868,601
869,148
870,256
871,654
872,498
873,1313
874,110
875,634
876,98
877,358
878,333
879,638
880,334
881,533
882,478
883,73
884,45
885,128
886,192
887,193
888,277
889,595
890,59
891,642
892,62
893,457
894,160
895,223
896,63
897,670
898,98
899,138
900,228
901,288
902,244
903,275
904,76
905,145
906,404
907,117
908,937
909,272
910,365
911,129
912,369
913,402
914,131
915,893
916,454
917,2446
918,547
919,954
920,714
921,134
922,822
923,929
924,1330
925,1059
926,220
927,163
928,221
929,384
930,138
931,200
932,838
933,4662
934,1722
935,806
936,425
937,585
938,2006
939,63
940,98
941,1146
942,566
943,1198
944,550
945,1642
946,703
947,661
948,604
949,588
950,439
951,1951
952,107
953,470
954,739
955,1800
956,1464
957,171
958,665
959,177
960,407
961,1777
962,552
963,2388
964,509
965,561
966,595
967,1806
968,936
969,1134
970,246
971,158
972,3306
973,418
974,718
975,959
976,832
977,1290
978,124
979,287
980,590
981,187
982,3961
983,528
984,176
985,272
986,533
987,292
988,259
989,435
990,265
991,106
992,551
993,1083
994,571
995,202
996,843
997,225
998,807
999,1892
