,0
0,73
1,399
2,631
3,176
4,21
5,88
6,287
7,141
8,265
9,355
10,163
11,105
12,347
13,362
14,472
15,308
16,347
17,164
18,184
19,195
20,326
21,147
22,114
23,102
24,119
25,817
26,79
27,261
28,139
29,159
30,96
31,313
32,404
33,226
34,131
35,77
36,235
37,566
38,393
39,38
40,67
41,128
42,232
43,35
44,170
45,360
46,285
47,58
48,289
49,93
50,164
51,149
52,132
53,89
54,255
55,275
56,194
57,124
58,93
59,80
60,134
61,395
62,70
63,413
64,197
65,32
66,580
67,109
68,95
69,158
70,231
71,65
72,126
73,190
74,64
75,82
76,182
77,323
78,99
79,78
80,424
81,304
82,229
83,196
84,329
85,204
86,130
87,266
88,26
89,245
90,215
91,78
92,39
93,56
94,90
95,149
96,57
97,56
98,157
99,107
100,121
101,191
102,185
103,144
104,678
105,137
106,253
107,120
108,100
109,77
110,262
111,22
112,109
113,230
114,199
115,44
116,186
117,148
118,93
119,77
120,452
121,85
122,298
123,605
124,276
125,66
126,343
127,66
128,111
129,162
130,90
131,306
132,162
133,310
134,142
135,65
136,125
137,27
138,173
139,66
140,147
141,80
142,150
143,269
144,195
145,50
146,87
147,79
148,545
149,165
150,67
151,46
152,61
153,75
154,59
155,63
156,85
157,299
158,88
159,276
160,112
161,179
162,147
163,182
164,44
165,167
166,400
167,69
168,589
169,175
170,83
171,130
172,515
173,79
174,336
175,70
176,33
177,47
178,188
179,95
180,119
181,49
182,67
183,68
184,133
185,351
186,87
187,164
188,54
189,71
190,127
191,153
192,283
193,168
194,190
195,24
196,19
197,172
198,60
199,129
200,86
201,97
202,114
203,141
204,86
205,120
206,40
207,57
208,135
209,34
210,50
211,63
212,59
213,98
214,431
215,95
216,31
217,161
218,60
219,36
220,79
221,112
222,513
223,221
224,308
225,92
226,46
227,58
228,300
229,103
230,447
231,103
232,46
233,149
234,124
235,65
236,23
237,62
238,113
239,77
240,83
241,178
242,130
243,178
244,196
245,123
246,86
247,190
248,147
249,124
250,96
251,99
252,213
253,20
254,117
255,20
256,60
257,154
258,232
259,52
260,52
261,131
262,244
263,30
264,174
265,32
266,128
267,166
268,137
269,66
270,45
271,49
272,84
273,331
274,136
275,60
276,323
277,124
278,198
279,79
280,112
281,186
282,55
283,80
284,80
285,116
286,75
287,35
288,47
289,84
290,135
291,202
292,136
293,91
294,188
295,96
296,38
297,59
298,121
299,253
300,188
301,38
302,93
303,126
304,68
305,139
306,45
307,91
308,283
309,81
310,380
311,88
312,67
313,34
314,48
315,111
316,38
317,143
318,105
319,233
320,185
321,586
322,69
323,42
324,137
325,138
326,127
327,192
328,131
329,232
330,49
331,236
332,120
333,41
334,47
335,131
336,169
337,62
338,51
339,344
340,85
341,244
342,124
343,73
344,95
345,96
346,30
347,357
348,71
349,36
350,384
351,16
352,91
353,226
354,150
355,144
356,17
357,114
358,61
359,49
360,39
361,288
362,80
363,173
364,157
365,100
366,24
367,494
368,63
369,60
370,252
371,27
372,94
373,65
374,76
375,83
376,87
377,244
378,108
379,94
380,36
381,146
382,50
383,178
384,30
385,365
386,317
387,30
388,240
389,147
390,91
391,86
392,232
393,252
394,102
395,154
396,97
397,100
398,34
399,86
400,133
401,317
402,54
403,183
404,113
405,28
406,42
407,73
408,187
409,51
410,28
411,279
412,156
413,41
414,81
415,67
416,453
417,87
418,130
419,38
420,37
421,132
422,194
423,197
424,27
425,98
426,86
427,71
428,113
429,70
430,53
431,28
432,52
433,144
434,202
435,78
436,27
437,23
438,154
439,65
440,133
441,169
442,116
443,62
444,122
445,160
446,58
447,72
448,25
449,120
450,58
451,38
452,102
453,65
454,121
455,78
456,277
457,45
458,114
459,66
460,28
461,60
462,46
463,85
464,63
465,131
466,66
467,52
468,32
469,119
470,129
471,45
472,141
473,35
474,123
475,35
476,27
477,208
478,36
479,40
480,54
481,56
482,164
483,40
484,82
485,403
486,101
487,53
488,66
489,29
490,174
491,35
492,70
493,136
494,65
495,72
496,63
497,66
498,263
499,30
500,242
501,35
502,64
503,36
504,84
505,92
506,101
507,143
508,74
509,133
510,75
511,443
512,166
513,236
514,56
515,372
516,53
517,107
518,187
519,47
520,184
521,137
522,113
523,48
524,49
525,197
526,176
527,54
528,86
529,77
530,123
531,83
532,44
533,269
534,175
535,131
536,38
537,69
538,112
539,74
540,52
541,43
542,171
543,175
544,68
545,41
546,22
547,94
548,141
549,108
550,17
551,156
552,65
