,"-1,-1","-1,0","-1,1","0,-1","0,0","0,1","1,-1","1,0","1,1"
".x9y26|-1,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-1,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-1,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-1,0",-17.493325874169162,-6.1273465255077415,-8.777561397902371,-5.281709207520298,-5.802622548350615,-15.059232555871805,-5.884007642187881,-7.047753374022527,-16.837424737927392
".x9y26|-1,1",-7.340418070449312,-11.473851411762343,-12.84438878085055,-9.94166876988069,-9.685492240364566,-9.221509138767326,-9.265140734382655,-10.183702714623655,-11.23485518973154
".x9y26|-1,2",0.0,0.0,-4.97971487175172,-8.157291973295505,-5.015474044192964,-5.061035419270695,0.0,-9.30155057197137,0.0
".x9y26|-1,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-1,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-1,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|0,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|0,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45711897000000007
".x9y26|0,-3",0.0,-5.1966988180924485,0.0,-0.33,-0.33,-0.33,-11.791756656822239,-0.33,0.0
".x9y26|0,-2",-13.54008310578015,-4.870151337807099,-4.402768530894085,-4.499314293740294,-4.462785029017264,-5.246817451719159,-3.295792131224286,-5.432870105437176,-4.964470376094572
".x9y26|0,-1",-6.41647437460266,-5.998148038456656,-5.870041712554843,-6.619839893469811,-5.964151288220744,-6.578685582617152,-6.767878151392888,-6.391598151256343,-7.192461028453436
".x9y26|0,0",-7.919690083050839,-9.19570521616787,-17.23114721903411,-9.557396829880476,-7.103026584483506,-13.662489486090013,-6.7351701511144535,-7.2592010316885,-12.263184957053163
".x9y26|0,1",-10.064312506669513,-12.961025026243833,-10.373585638431713,-7.105608974184398,-14.495171924241378,-12.48335856812335,-11.489222820095945,-11.813782617659117,-11.91067771236267
".x9y26|0,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|0,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|0,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|0,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|1,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|1,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|1,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|1,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|1,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|1,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|1,1",-11.164525488095565,-14.21028045469988,-14.695416076850485,-13.31855605440788,-13.919528781148653,-14.547041451077453,-3.096104403748738,-12.939383947981831,-12.63595072963416
".x9y26|1,2",-13.242335868325677,-12.8230838251316,-12.848489116125462,-11.614248926455227,-12.135124811130051,-12.61999911373817,-12.568166396680398,-13.42438494563332,-12.560361012608235
".x9y26|1,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|1,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|1,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|2,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|2,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|2,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|2,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|2,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|2,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|2,1",-11.763810303789317,-14.920034674472323,-16.281260623723416,-10.321435603151876,-17.623312996671242,-17.213262564981925,-6.593873216129941,-9.810974862220736,-11.914705849792348
".x9y26|2,2",-13.192497787387637,-15.457147402050854,-10.878617484088386,-10.932917129054992,-11.25173834496797,-12.863085991045761,-11.867895461538854,-10.869639662892094,-13.08949109115865
".x9y26|2,3",-14.323653707780071,-14.683573556527973,-14.20980997239868,-14.694202478712302,-13.803791226850315,-14.16483410991829,-14.416543208639345,-13.86119509739821,-14.272958356581432
".x9y26|2,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|2,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|3,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|3,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|3,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|3,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|3,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|3,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|3,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|3,2",-11.348538277332043,-10.92015477013663,-11.479860140946503,-11.180771447122638,-13.297008295871944,-8.873042521567609,-10.867595295330624,-10.629051043346614,-9.549338533278672
".x9y26|3,3",-15.677719739672572,-12.507145195280224,-12.81458057431432,-11.582236440417848,-12.602871195449993,-11.337809597697335,-11.198041345814193,-11.712606325720811,-11.524349651337385
".x9y26|3,4",-8.935471642541838,-11.170821133297009,-11.523875616818822,-11.300377821590828,-10.992460086443733,-8.845672474534505,-9.05245461677385,-9.23480814183409,-9.143809571332659
".x9y26|3,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|4,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|4,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|4,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|4,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|4,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|4,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|4,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|4,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|4,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|4,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|5,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|5,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|5,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|5,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|5,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|5,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|5,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|5,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|5,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|5,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|5,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x10y26|-5,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x10y26|-5,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x10y26|-5,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x10y26|-5,-2",-5.397622947237363,-8.126992296540466,-5.1750775948622145,-5.080020046491635,-5.341650441483578,-8.958042887076665,-8.96681191453394,-8.908180308321928,-8.720022130597519
".x10y26|-5,-1",-6.441220135148006,-5.158612108895396,-5.952555456691961,-4.672222188549534,-5.806854658379675,-2.849772425668332,-5.567080722465022,-4.817918430689438,-5.051802681368677
".x10y26|-5,0",-7.884955655794477,-3.758347221937788,-3.7703112611136094,-7.970006689032326,-3.4975414602865897,-4.067954352987096,-5.62276690117764,-3.4295416745740157,-4.612131698363571
".x10y26|-5,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x10y26|-5,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x10y26|-5,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x10y26|-5,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x10y26|-5,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x10y26|-4,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x10y26|-4,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x10y26|-4,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x10y26|-4,-2",-5.318317685377999,-9.330232351823387,-8.73633479357716,-8.950404784796559,-8.996128042768934,-5.8212867946208355,-7.073831984050233,-7.724865233288894,-8.21648838138367
".x10y26|-4,-1",-10.528556157519748,-9.288786372663676,-8.658231561601626,-8.594254331333914,-11.530324072389549,-7.943306421212906,-13.583358128040912,-11.526325395443658,-10.88023761565962
".x10y26|-4,0",-6.2052815768806395,-3.507201371105534,-4.184864832985958,-8.524456151164177,-3.747629485604881,-3.8989929450459693,-7.441924205502547,-3.7028841703598943,-3.572426378278057
".x10y26|-4,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x10y26|-4,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x10y26|-4,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x10y26|-4,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x10y26|-4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x10y26|-3,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x10y26|-3,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x10y26|-3,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x10y26|-3,-2",-4.788403121349232,-8.392164277132359,-8.615119325006981,-6.337405252096422,-4.990448642493011,-5.420720396258193,-5.669148186732475,-5.908945261181431,-13.259206581064518
".x10y26|-3,-1",-10.28717065040906,-13.66612470647338,-5.736040462241011,-7.903115482633328,-12.24807500529979,-8.127195473302665,-7.0087222994256795,-10.859400559688602,-6.253636449283043
