,0
0,435
1,40
2,86
3,541
4,174
5,277
6,349
7,219
8,228
9,150
10,201
11,286
12,214
13,77
14,125
15,416
16,157
17,144
18,322
19,129
20,170
21,153
22,342
23,334
24,506
25,533
26,243
27,391
28,115
29,157
30,259
31,124
32,283
33,368
34,212
35,147
36,689
37,58
38,275
39,220
40,101
41,288
42,147
43,149
44,113
45,382
46,150
47,193
48,507
49,107
50,215
51,56
52,241
53,326
54,143
55,481
56,85
57,71
58,145
59,174
60,211
61,82
62,459
63,61
64,101
65,122
66,336
67,78
68,151
69,131
70,447
71,147
72,289
73,314
74,120
75,85
76,183
77,220
78,251
79,216
80,193
81,347
82,151
83,107
84,23
85,94
86,209
87,155
88,291
89,74
90,86
91,232
92,418
93,114
94,203
95,120
96,322
97,78
98,71
99,133
100,86
101,552
102,245
103,297
104,138
105,179
106,505
107,91
108,200
109,376
110,61
111,69
112,102
113,107
114,225
115,215
116,123
117,101
118,343
119,48
120,113
121,84
122,115
123,40
124,198
125,460
126,176
127,129
128,165
129,195
130,231
131,172
132,154
133,553
134,93
135,150
136,110
137,364
138,23
139,72
140,193
141,126
142,283
143,95
144,109
145,194
146,272
147,61
148,67
149,80
150,42
151,122
152,243
153,20
154,56
155,72
156,235
157,46
158,42
159,65
160,144
161,119
162,162
163,85
164,106
165,183
166,53
167,279
168,239
169,110
170,71
171,178
172,165
173,179
174,40
175,79
176,55
177,293
178,145
179,240
180,107
181,36
182,117
183,122
184,202
185,395
186,139
187,23
188,51
189,118
190,37
191,74
192,113
193,65
194,211
195,196
196,105
197,37
198,23
199,161
200,215
201,175
202,125
203,97
204,26
205,82
206,208
207,132
208,129
209,88
210,66
211,71
212,88
213,135
214,182
215,106
216,219
217,81
218,247
219,205
220,513
221,43
222,145
223,146
224,42
225,122
226,755
227,133
228,560
229,232
230,539
231,280
232,57
233,115
234,204
235,83
236,136
237,82
238,354
239,76
240,139
241,99
242,80
243,90
244,266
245,44
246,36
247,307
248,314
249,164
250,66
251,401
252,36
253,69
254,85
255,90
256,122
257,127
258,42
259,51
260,42
261,165
262,72
263,130
264,36
265,385
266,188
267,29
268,17
269,28
270,36
271,103
272,62
273,65
274,162
275,247
276,300
277,122
278,214
279,67
280,119
281,337
282,58
283,116
284,138
285,108
286,30
287,30
288,165
289,258
290,48
291,100
292,36
293,414
294,25
295,392
296,230
297,71
298,106
299,171
300,79
301,219
302,139
303,163
304,30
305,205
306,70
307,241
308,26
309,119
310,93
311,75
312,84
313,112
314,87
315,94
316,221
317,126
318,288
319,169
320,68
321,79
322,22
323,65
324,64
325,25
326,87
327,40
328,51
329,142
330,20
331,178
332,21
333,123
334,24
335,240
336,23
337,45
338,37
339,49
340,83
341,264
342,260
343,77
344,17
345,198
346,266
347,37
348,133
349,80
350,174
351,188
352,77
353,208
354,29
355,47
356,129
357,72
358,22
359,18
360,297
361,56
362,112
363,74
364,621
365,190
366,134
367,76
368,35
369,37
370,119
371,79
372,178
373,100
374,33
375,28
376,31
377,116
378,256
379,410
380,187
381,139
382,18
383,49
384,58
385,477
386,85
387,466
388,462
389,98
390,53
391,54
392,899
393,94
394,44
395,111
396,291
397,179
398,21
399,155
400,226
401,39
402,189
403,65
404,150
405,339
406,342
407,25
408,596
409,58
410,168
411,78
412,133
413,51
414,62
415,138
416,25
417,30
418,106
419,35
420,34
421,202
422,20
423,55
424,72
425,82
426,34
427,30
428,33
429,142
430,48
431,55
432,61
433,82
434,22
435,283
436,120
437,130
438,26
439,497
440,24
441,32
442,369
443,242
444,23
445,107
446,69
447,75
448,112
449,25
450,21
451,39
452,33
453,287
454,90
455,118
456,349
457,63
458,149
459,51
460,243
461,163
462,27
463,120
464,166
465,248
466,363
467,65
468,51
469,67
470,45
471,217
472,17
473,202
474,18
475,202
476,401
477,111
478,37
479,483
480,101
481,195
482,63
483,55
484,112
485,423
486,22
487,244
488,126
489,119
490,456
491,171
492,211
493,95
494,22
495,101
496,122
497,67
498,108
499,204
