,"-1,-1","-1,0","-1,1","0,-1","0,0","0,1","1,-1","1,0","1,1"
".x9y26|-5,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,-2",-20.73070520805366,-20.55847243092468,-20.700756306342047,-22.53296056894977,-21.180767444216507,-20.772241636190294,-19.735265198707346,-20.996103244864813,-20.68558344428503
".x9y26|-5,-1",-22.209574068381908,-18.921907607620575,-17.925392301250206,-20.943770215265197,-18.576267799365798,-18.795704729957148,-20.56022436767567,-19.13707359079687,-15.700039873459817
".x9y26|-5,0",-19.276683213238698,-16.802383108304724,-21.764030530033093,-22.899885452648334,-17.239442292814925,-25.879051670867767,-19.387761850929355,-17.249492412371758,-17.62968044645367
".x9y26|-5,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-5,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-4,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-4,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-4,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-4,-2",-22.76595296108909,-16.51512795651678,-17.052799737389666,-18.256350438021556,-21.5840095413109,-16.140022554347482,-7.477420945888253,-17.756177491719505,-17.407469261551263
".x9y26|-4,-1",-23.24442755670705,-24.073231741778486,-24.764516895160234,-22.250571947659473,-21.73550066524769,-17.101453347963627,-21.970605443375717,-22.031186234469626,-21.575466155645984
".x9y26|-4,0",-22.492017168761386,-15.496631140474666,-23.467399306104568,-22.15556587397393,-16.7901219759794,-18.242776576074842,-20.992817821296693,-13.991897721677738,-15.202740366148191
".x9y26|-4,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y26|-4,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
