,0
0,16396
1,1576
2,2892
3,8194
4,13516
5,2995
6,1072
7,4920
8,1004
9,6776
10,3570
11,12861
12,1886
13,2651
14,7559
15,1774
16,1983
17,401
18,1205
19,624
20,412
21,4603
22,521
23,5164
24,2550
25,1184
26,6760
27,703
28,2959
29,1654
30,1663
31,9436
32,3256
33,879
34,2170
35,1542
36,317
37,1662
38,423
39,3644
40,158
41,709
42,960
43,2247
44,4860
45,3327
46,12276
47,2607
48,3112
49,1238
50,4462
51,1041
52,501
53,766
54,1932
55,245
56,376
57,1676
58,785
59,4338
60,1429
61,1324
62,443
63,2019
64,785
65,687
66,359
67,4246
68,1197
69,654
70,473
71,2700
72,717
73,265
74,3505
75,3814
76,347
77,1763
78,967
79,5963
80,326
81,1349
82,5255
83,2186
84,1927
85,1005
86,1261
87,1705
88,942
89,1245
90,2469
91,756
92,583
93,1058
94,3344
95,2119
96,604
97,833
98,1458
99,242
100,216
101,966
102,1336
103,2828
104,1285
105,2826
106,230
107,2261
108,1194
109,744
110,1839
111,884
112,2206
113,638
114,470
115,1514
116,138
117,8531
118,1346
119,3294
120,16813
121,522
122,1106
123,961
124,1193
125,3234
126,71
127,7189
128,958
129,1311
130,1249
131,1482
132,1567
133,8002
134,4335
135,2046
136,2692
137,1230
138,5287
139,1238
140,1645
141,1259
142,3567
143,4662
144,651
145,826
146,374
147,3017
148,2255
149,790
150,1048
151,859
152,2076
153,1234
154,332
155,1872
156,3461
157,3732
158,802
159,3365
160,543
161,950
162,1576
163,2202
164,878
165,716
166,159
167,622
168,431
169,4926
170,439
171,254
172,868
173,1308
174,182
175,3706
176,2475
177,3458
178,371
179,753
180,869
181,4183
182,380
183,585
184,1730
185,1406
186,702
187,994
188,591
189,4141
190,192
191,1687
192,467
193,5150
194,1888
195,1743
196,2537
197,345
198,2529
199,1896
200,1104
201,1337
202,2896
203,2635
204,240
205,1033
206,3020
207,3899
208,754
209,1014
210,4698
211,4251
212,461
213,3718
214,1008
215,274
216,254
217,3717
218,2662
219,319
220,181
221,458
222,788
223,684
224,689
225,1626
226,249
227,764
228,804
229,880
230,363
231,2075
232,463
233,886
234,2947
235,674
236,1312
237,1799
238,678
239,3655
240,205
241,410
242,639
243,990
244,614
245,1150
246,598
247,1705
248,341
249,2216
250,3466
251,3662
252,361
253,1144
254,1220
255,871
256,374
257,1274
258,266
259,598
260,802
261,4884
262,100
263,2088
264,330
265,1456
266,1518
267,768
268,693
269,624
270,1455
271,1103
272,816
273,566
274,297
275,1305
276,376
277,1579
278,357
279,955
280,1539
281,1117
282,1637
283,763
284,4501
285,1798
286,464
287,458
288,104
289,2139
290,2023
291,618
292,2628
293,5281
294,2780
295,307
296,657
297,1021
298,809
299,514
300,258
301,2427
302,2806
303,665
304,460
305,1591
306,1477
307,1530
308,1884
309,2145
310,1179
311,668
312,321
313,428
314,2799
315,1481
316,2100
317,1508
318,1103
319,543
320,928
321,2862
322,821
323,311
324,698
325,412
326,275
327,3147
328,737
329,5459
330,520
331,769
332,2969
333,414
334,1744
335,582
336,3014
337,1984
338,390
339,923
340,820
341,898
342,2259
343,601
344,749
345,2348
346,729
347,639
348,519
349,425
350,124
351,355
352,2035
353,2825
354,1869
355,1202
356,1833
357,478
358,852
359,795
360,182
361,745
362,383
363,848
364,806
365,334
366,191
367,165
368,128
369,210
370,936
371,589
372,606
373,730
374,783
375,203
376,443
377,639
378,1001
379,439
380,607
381,264
382,615
383,622
384,942
385,165
386,2218
387,487
388,341
389,731
390,901
391,391
392,1152
393,347
394,86
395,1014
396,767
397,553
398,283
399,640
400,1092
401,965
402,1133
403,806
404,291
405,678
406,433
407,559
408,871
409,528
410,843
411,237
412,1903
413,1178
414,223
415,788
416,394
417,3299
418,201
419,958
420,1596
421,435
422,147
423,897
424,251
425,821
426,1881
427,2205
428,808
429,897
430,416
431,416
432,499
433,995
434,1192
435,1086
436,634
437,533
438,241
439,1972
440,689
441,777
442,1915
443,733
444,1211
445,683
446,113
447,130
448,622
449,169
450,661
451,520
452,75
453,1092
454,708
455,361
456,203
457,1044
458,897
459,555
460,931
461,68
462,567
463,946
464,1287
465,931
466,394
467,532
468,262
469,545
470,1780
471,3354
472,831
473,223
474,436
475,323
476,4485
477,1187
478,614
479,2120
480,543
481,1293
482,1600
483,1017
484,233
485,246
486,455
487,913
488,965
489,1642
490,2050
491,632
492,324
493,1010
494,667
495,569
496,696
497,460
498,188
499,2752
500,1664
501,89
502,768
503,552
504,717
505,807
506,422
507,1987
508,408
509,357
510,825
511,538
512,1429
513,199
514,297
515,786
516,349
517,3350
518,481
519,1575
520,338
521,672
522,697
523,737
524,741
525,1971
526,613
527,2403
528,1203
529,84
530,459
531,841
532,1319
533,3932
534,5728
535,1684
536,305
537,336
538,110
539,1396
540,1062
541,1067
542,99
543,535
544,299
545,821
546,818
547,1469
548,181
549,322
550,4142
551,194
552,4175
553,1088
554,884
555,3077
556,2316
557,1728
558,1097
559,3019
560,1253
561,1247
562,151
563,779
564,735
565,1251
566,949
567,287
568,1511
569,315
570,1086
571,3190
572,885
573,786
574,549
575,4037
576,2417
577,1023
578,1558
579,1931
580,479
581,1001
582,298
583,861
584,2566
585,266
586,299
587,640
588,1916
589,2103
590,713
591,659
592,1093
593,486
594,2360
595,198
596,495
597,430
598,174
599,300
600,1069
601,1509
602,137
603,2308
604,788
605,742
606,723
607,556
608,2345
609,179
610,400
611,285
612,1278
613,842
614,1155
615,195
616,181
617,1301
618,147
619,460
620,1513
621,1983
622,1731
623,469
624,3052
625,412
626,1027
627,770
628,1890
629,2725
630,304
631,2112
632,237
633,327
634,769
635,674
636,1221
637,981
638,781
639,1222
640,328
641,548
642,659
643,610
644,3222
645,628
646,1681
647,141
648,617
649,3943
650,417
651,1200
652,3164
653,562
654,372
655,1556
656,2492
657,1790
658,370
659,860
660,1296
661,559
662,128
663,116
664,171
665,1495
666,690
667,724
668,715
669,470
670,527
671,758
672,1411
673,448
674,1610
675,495
676,170
677,488
678,1145
679,439
680,432
681,622
682,4636
683,1268
684,805
685,4382
686,1864
687,971
688,551
689,273
690,781
691,733
692,1367
693,599
694,1672
695,1342
696,385
697,684
698,3553
699,1784
700,1747
701,333
702,2503
703,2083
704,682
705,2830
706,1147
707,365
708,91
709,1887
710,2209
711,1535
712,298
713,546
714,144
715,1117
716,1059
717,1005
718,883
719,1549
720,312
721,3707
722,1714
723,670
724,1750
725,450
726,2229
727,181
728,2385
729,3544
730,1179
731,6007
732,1285
733,1252
734,1469
735,272
736,1058
737,2896
738,1895
739,1827
740,354
741,357
742,606
743,836
744,348
745,304
746,228
747,185
748,186
749,2126
750,2854
751,191
752,1168
753,356
754,1901
755,264
756,310
757,803
758,778
759,2057
760,377
761,579
762,231
763,284
764,409
765,1095
766,350
767,1276
768,1312
769,699
770,973
771,1166
772,244
773,1240
774,373
775,3284
776,1000
777,267
778,550
779,240
780,399
781,826
782,472
783,1006
784,1138
785,492
786,567
787,464
788,2614
789,2262
790,563
791,1733
792,268
793,1579
794,807
795,2121
796,188
797,305
798,1770
799,2026
800,945
801,205
802,93
803,1193
804,1082
805,2629
806,733
807,846
808,705
809,966
810,4026
811,1162
812,659
813,616
814,2478
815,487
816,1487
817,1204
818,791
