,"-1,-1","-1,0","-1,1","0,-1","0,0","0,1","1,-1","1,0","1,1"
"Sx1y4|0,5",0.0,0.0,-9.051000000000007,0.0,0.0,-13.910999999999994,0.0,0.0,0.0
"Sx1y4|1,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|1,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|1,-3",0.0,0.0,0.0,0.0,0.0,0.0,-43.70008246499825,0.0,0.0
"Sx1y4|1,-2",0.0,0.0,0.0,0.0,0.0,0.0,-51.144885600580764,-41.24203085615489,-10.752000000000011
"Sx1y4|1,-1",0.0,0.0,0.0,0.0,0.0,0.0,-28.010976922453466,-21.491490159526034,-9.113531585447728
"Sx1y4|1,0",-1.1218982046067563,0.0,0.0,0.0,0.0,0.0,-8.446402536333073,-24.402255538976195,-9.44088694879736
"Sx1y4|1,1",-13.101000000000003,-14.072999999999995,0.0,-21.061740000000015,-21.524999999999924,-10.67100000000001,-41.54873314626244,-57.4388116284011,-56.46922939292005
"Sx1y4|1,2",0.0,0.0,-4.029,-15.042139200000008,-11.400000000000013,-25.551411300000005,-23.655298500000022,-53.58516141281478,-32.819750541933445
"Sx1y4|1,3",-21.16461000000001,0.0,-14.16702000000001,-9.375000000000009,-21.767999999999923,-32.89927769999996,-14.153999999999993,-35.44115627630998,-44.040537311191926
"Sx1y4|1,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.73209709999995,-9.78000000000001
"Sx1y4|1,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|2,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|2,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|2,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|2,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|2,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|2,0",0.0,0.0,0.0,0.0,0.0,0.0,-1.6432775460498668,0.0,0.0
"Sx1y4|2,1",0.0,0.0,0.0,0.0,0.0,0.0,-4.758,0.0,-4.271999999999999
"Sx1y4|2,2",-15.206999999999983,0.0,0.0,0.0,0.0,0.0,-30.991824393000005,-16.44717,0.0
"Sx1y4|2,3",0.0,0.0,0.0,0.0,0.0,-7.512000000000004,0.0,0.0,0.0
"Sx1y4|2,4",0.0,-6.135000000000001,0.0,0.0,-22.334999999999916,0.0,0.0,-15.125999999999983,-4.271999999999999
"Sx1y4|2,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|3,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|3,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|3,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|3,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|3,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|3,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|3,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|3,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0009999999999994,0.0
"Sx1y4|3,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|3,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|3,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|4,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|4,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|4,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|4,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|4,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|4,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|4,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|4,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|4,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|4,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|5,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|5,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|5,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|5,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|5,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|5,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|5,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|5,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|5,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|5,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sx1y4|5,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-5,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-5,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-5,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-5,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-5,-1",-18.621209999999984,-15.368999999999982,0.0,0.0,-16.340999999999973,0.0,-8.322000000000006,0.0,0.0
".x2y4|-5,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-5,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-5,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-5,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-5,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-5,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-4,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-4,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-4,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-4,-2",-19.209270000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-4,-1",-3.4619999999999997,-18.072029999999998,0.0,-3.543,0.0,-12.777000000000005,0.0,0.0,0.0
