,0
799,42
800,22
801,72
802,39
803,45
804,25
805,72
806,46
807,61
808,45
809,54
810,27
811,48
812,24
813,76
814,76
815,48
816,78
817,24
818,46
819,29
820,107
821,89
822,52
823,54
824,48
825,47
826,50
827,83
828,33
829,43
830,65
831,61
832,40
833,65
834,75
835,49
836,49
837,61
838,33
839,50
840,30
841,73
842,75
843,81
844,55
845,57
846,56
847,68
848,45
849,51
850,36
851,88
852,44
853,46
854,36
855,62
856,67
857,49
858,37
859,52
860,89
861,38
862,78
863,64
864,39
865,28
866,57
867,58
868,51
869,28
870,74
871,66
872,48
873,54
874,69
875,27
876,50
877,106
878,59
879,34
880,44
881,59
882,84
883,44
884,53
885,47
886,56
887,53
888,27
889,108
890,39
891,78
892,28
893,49
894,60
895,49
896,20
897,21
898,27
899,41
900,76
901,100
902,77
903,38
904,63
905,37
906,23
907,93
908,55
909,49
910,58
911,47
912,95
913,46
914,114
915,60
916,44
917,49
918,43
919,47
920,44
921,62
922,51
923,27
924,51
925,43
926,54
927,31
928,75
929,48
930,52
931,34
932,86
933,75
934,63
935,112
936,32
937,63
938,36
939,26
940,37
941,32
942,33
943,55
944,29
945,71
946,47
947,22
948,41
949,35
950,63
951,79
952,40
953,48
954,71
955,70
956,47
957,58
958,36
959,42
960,36
961,71
962,91
963,74
964,42
965,41
966,53
967,58
968,36
969,91
970,37
971,54
972,55
973,38
974,64
975,43
976,24
977,63
978,72
979,53
980,62
981,80
982,36
983,36
984,44
985,44
986,102
987,21
988,65
989,84
990,36
991,51
992,28
993,50
994,31
995,42
996,72
997,47
998,40
999,88
1000,63
1001,81
1002,30
1003,71
1004,62
1005,38
1006,47
1007,43
1008,96
1009,44
1010,31
1011,80
1012,56
1013,66
1014,28
1015,60
1016,20
1017,44
1018,44
1019,59
1020,30
1021,64
1022,69
1023,62
1024,43
1025,123
1026,39
1027,50
1028,63
1029,41
1030,61
1031,66
1032,34
1033,61
1034,39
1035,107
1036,31
1037,23
1038,34
1039,31
1040,32
1041,53
1042,53
